occupation,month,compound,n
registered_nurses,2026-01,0.1889777777777778,9
registered_nurses,2026-02,0.34095,8
registered_nurses,2026-03,0.34221250000000003,8
registered_nurses,2026-04,0.3494846153846154,13
registered_nurses,2026-05,0.3056125,16
sales_assistants,2014-09,0.7456,3
sales_assistants,2021-05,0.8577142857142857,14
sales_assistants,2021-06,0.9426,2
sales_assistants,2021-07,0.92855,2
sales_assistants,2022-04,0.052464285714285706,56
sales_assistants,2022-05,0.42408,5
sales_assistants,2022-06,0.02034999999999998,2
sales_assistants,2022-07,-0.08363749999999998,8
sales_assistants,2022-08,0.30296666666666666,6
sales_assistants,2022-09,-0.11315,2
sales_assistants,2022-10,0.29295,2
sales_assistants,2022-11,0.32513333333333333,3
sales_assistants,2023-09,0.40391875,16
sales_assistants,2024-01,0.22088020833333333,96
sales_assistants,2024-02,-0.008349999999999969,2
sales_assistants,2024-03,0.07365,2
sales_assistants,2024-06,0.614025,4
sales_assistants,2024-07,0.14414444444444444,9
sales_assistants,2024-08,0.30487142857142857,7
sales_assistants,2024-09,0.3299166666666667,6
sales_assistants,2024-10,-0.03443333333333334,6
sales_assistants,2024-11,-0.14884999999999998,8
sales_assistants,2024-12,0.3862666666666667,3
sales_assistants,2025-01,0.13001428571428572,7
sales_assistants,2025-02,0.589025,4
sales_assistants,2025-03,0.11910000000000001,4
sales_assistants,2025-04,0.2799,7
sales_assistants,2025-05,0.28215,10
sales_assistants,2025-06,0.40096,5
sales_assistants,2025-07,0.21795384615384616,13
sales_assistants,2025-08,0.42823529411764705,17
sales_assistants,2025-09,0.2864,16
sales_assistants,2025-10,0.29319375000000003,16
sales_assistants,2025-11,0.06014615384615384,78
sales_assistants,2025-12,0.0789047619047619,21
sales_assistants,2026-01,0.15011363636363637,22
sales_assistants,2026-02,0.31948695652173914,23
sales_assistants,2026-03,0.19952068965517242,29
sales_assistants,2026-04,0.3168142857142857,42
sales_assistants,2026-05,0.13315108695652175,92
