occupation,compound_mean,n,pct_positive,pct_negative,label
motor_mechanics,0.16744463840399004,401,51.12219451371571,24.93765586034913,Motor Mechanics
sales_assistants,0.21225839416058392,685,57.22627737226277,25.693430656934307,Sales Assistants
commercial_cleaners,0.2228243243243243,407,57.49385749385749,18.181818181818183,Comm. Cleaners
registered_nurses,0.24736880733944955,327,57.18654434250765,18.960244648318042,Reg. Nurses
aged_and_disabled_carers,0.36282641509433966,53,67.9245283018868,13.20754716981132,Aged Carers
education_aides,0.4065436781609196,87,71.26436781609196,11.494252873563218,Education Aides
