occupation,month,compound,n
motor_mechanics,2025-03,0.09605,8
motor_mechanics,2025-04,-0.2886736111111111,72
motor_mechanics,2025-05,-0.15581578947368419,19
motor_mechanics,2025-06,-0.06294000000000001,15
motor_mechanics,2025-07,0.1377,11
motor_mechanics,2025-08,-0.11033571428571427,14
motor_mechanics,2025-09,0.14751538461538463,13
motor_mechanics,2025-10,-0.30950675675675676,74
motor_mechanics,2025-11,-0.351425,20
motor_mechanics,2025-12,-0.01007222222222222,18
motor_mechanics,2026-01,-0.06274814814814816,27
motor_mechanics,2026-02,-0.017562499999999995,16
motor_mechanics,2026-03,-0.23229285714285716,14
motor_mechanics,2026-04,-0.38533333333333336,15
motor_mechanics,2026-05,0.2121222222222222,9
registered_nurses,2021-09,-0.5822418604651163,86
registered_nurses,2021-11,-0.4585666666666666,3
registered_nurses,2022-06,-0.9424,1
registered_nurses,2022-08,0.2868857142857143,14
registered_nurses,2022-09,0.001399999999999994,6
registered_nurses,2022-10,0.6387,2
registered_nurses,2022-11,0.0831,2
registered_nurses,2022-12,0.32216666666666666,3
registered_nurses,2023-01,-0.36245,2
registered_nurses,2023-02,0.0625,1
registered_nurses,2023-03,0.09862,5
registered_nurses,2023-04,0.2843,4
registered_nurses,2023-07,0.9806,1
registered_nurses,2023-08,0.036838888888888886,18
registered_nurses,2023-09,0.11521999999999999,5
registered_nurses,2023-11,-0.0219,1
registered_nurses,2024-06,0.11939999999999999,2
registered_nurses,2024-07,0.3685,1
registered_nurses,2024-09,0.1261,1
registered_nurses,2024-10,0.0608,1
registered_nurses,2024-12,-0.4699,2
registered_nurses,2025-01,0.051449999999999996,8
registered_nurses,2025-02,0.18171666666666667,6
registered_nurses,2025-03,0.055142857142857146,7
registered_nurses,2025-04,0.65208,5
registered_nurses,2025-05,0.6701,8
registered_nurses,2025-06,0.3765230769230769,13
registered_nurses,2025-07,0.8170625,8
registered_nurses,2025-08,0.47059999999999996,6
registered_nurses,2025-09,0.16046,10
registered_nurses,2025-10,0.11491851851851853,27
registered_nurses,2025-11,0.28718750000000004,8
registered_nurses,2025-12,0.15339999999999998,6
registered_nurses,2026-01,-0.14764444444444444,9
registered_nurses,2026-02,0.09328750000000001,8
registered_nurses,2026-03,-0.0004375000000000004,8
registered_nurses,2026-04,0.12240000000000001,13
registered_nurses,2026-05,0.18148124999999998,16
sales_assistants,2014-09,0.5446666666666667,3
sales_assistants,2014-10,-0.6549,1
sales_assistants,2014-11,0.5781,1
sales_assistants,2015-04,0.9759,1
sales_assistants,2015-10,-0.2707,1
sales_assistants,2016-07,-0.8071,1
sales_assistants,2017-08,-0.3783,1
sales_assistants,2019-04,0.9785,1
sales_assistants,2021-05,0.9353285714285714,14
sales_assistants,2021-06,0.9815,2
sales_assistants,2021-07,0.9155500000000001,2
sales_assistants,2021-10,0.965,1
sales_assistants,2022-01,0.9772,1
sales_assistants,2022-03,0.806,1
sales_assistants,2022-04,-0.0713607142857143,56
sales_assistants,2022-05,0.12426,5
sales_assistants,2022-06,-0.4896,2
sales_assistants,2022-07,-0.05677499999999997,8
sales_assistants,2022-08,-0.01156666666666665,6
sales_assistants,2022-09,0.18325,2
sales_assistants,2022-10,-0.61345,2
sales_assistants,2022-11,-0.11226666666666667,3
sales_assistants,2023-01,-0.8465,1
sales_assistants,2023-02,0.7562,1
sales_assistants,2023-04,-0.9257,1
sales_assistants,2023-05,0.9721,1
sales_assistants,2023-09,0.0623625,16
sales_assistants,2023-12,0.888,1
sales_assistants,2024-01,-0.34475729166666663,96
sales_assistants,2024-02,-0.5197499999999999,2
sales_assistants,2024-03,-0.25825,2
sales_assistants,2024-06,0.585475,4
sales_assistants,2024-07,0.07286666666666666,9
sales_assistants,2024-08,0.1254714285714286,7
sales_assistants,2024-09,0.4679666666666667,6
sales_assistants,2024-10,-0.2378,6
sales_assistants,2024-11,-0.30512500000000004,8
sales_assistants,2024-12,0.4549999999999999,3
sales_assistants,2025-01,0.20075714285714286,7
sales_assistants,2025-02,0.32665,4
sales_assistants,2025-03,0.08202500000000001,4
sales_assistants,2025-04,0.04459999999999997,7
sales_assistants,2025-05,0.08204000000000002,10
sales_assistants,2025-06,-0.06617999999999999,5
sales_assistants,2025-07,0.20643076923076925,13
sales_assistants,2025-08,0.3028294117647059,17
sales_assistants,2025-09,0.02760625,16
sales_assistants,2025-10,0.05933125,16
sales_assistants,2025-11,-0.44874487179487177,78
sales_assistants,2025-12,0.03958095238095238,21
sales_assistants,2026-01,-0.15470454545454546,22
sales_assistants,2026-02,0.04434782608695653,23
sales_assistants,2026-03,-0.18062068965517242,29
sales_assistants,2026-04,0.04940476190476191,42
sales_assistants,2026-05,-0.188475,92
