occupation,compound_mean,n,pct_positive,pct_negative
aged_and_disabled_carers,0.1206811320754717,53,28.30188679245283,20.754716981132077
commercial_cleaners,0.19001621621621623,407,30.95823095823096,12.776412776412776
education_aides,0.3548977011494253,87,49.42528735632184,17.24137931034483
motor_mechanics,-0.12710274314214465,401,19.70074812967581,41.14713216957606
registered_nurses,-0.019381039755351683,327,24.770642201834864,31.49847094801223
sales_assistants,-0.08321897810218978,685,27.00729927007299,42.33576642335766
